Date,Open,High,Low,Close,Adj Close,Volume
3/2/15,85,85.019997,83.75,84,84,11213400
3/3/15,82.949997,83.25,80.029999,81.580002,81.580002,39246100
3/4/15,80.269997,85.825996,80.169998,85.489998,85.489998,36438900
3/5/15,85.75,86.269997,84.010002,86.099998,86.099998,18514800
3/6/15,85.739998,86,84.050003,84.400002,84.400002,10673700
3/9/15,84.349998,84.349998,81.480003,82.529999,82.529999,17616500
3/10/15,81.089996,83.150002,80.650002,82.970001,82.970001,13756700
3/11/15,83,83.379997,81.190002,81.989998,81.989998,12768700
3/12/15,82.099998,82.900002,81.529999,81.919998,81.919998,11232000
3/13/15,81.800003,81.919998,80.769997,81.860001,81.860001,12663300
3/16/15,82.010002,85.199997,81.940002,84,84,16905700
3/17/15,84.010002,85.099998,83.510002,84.5,84.5,17566500
3/18/15,83.870003,85.949997,83.300003,84.589996,84.589996,35558000
3/19/15,85.110001,87.040001,85,85.739998,85.739998,30454700
3/20/15,86.330002,86.800003,85.089996,85.199997,85.199997,21181500
3/23/15,85.25,85.529999,84.209999,84.25,84.25,10884100
3/24/15,84.349998,84.5,82.389999,83.629997,83.629997,14545100
3/25/15,83.940002,84.480003,82.669998,83.75,83.75,13507200
3/26/15,83.199997,84.995003,82.959999,84.169998,84.169998,12208000
3/27/15,84.779999,85.150002,83.339996,84.580002,84.580002,9627000
3/30/15,85.029999,85.150002,83.75,83.900002,83.900002,10020500
3/31/15,83.639999,84.449997,83.199997,83.239998,83.239998,11812900
4/1/15,83.370003,83.720001,82.18,82.360001,82.360001,14856100
4/2/15,82.879997,83,81.25,82.279999,82.279999,19868200
4/6/15,82.050003,82.589996,81.613998,81.82,81.82,12810500
4/7/15,81.940002,82.949997,81.879997,82.209999,82.209999,9443000
4/8/15,83.300003,85.540001,83.066002,85.389999,85.389999,26161500
4/9/15,87.029999,87.690002,85.199997,86.139999,86.139999,27800400
4/10/15,86.68,86.690002,84.150002,84.580002,84.580002,18300300
4/13/15,85.160004,85.709999,83.82,84.279999,84.279999,15797100
4/14/15,84.629997,85.129997,83.529999,85,85,11798800
4/15/15,85.080002,85.360001,84.160004,84.669998,84.669998,12225800
4/16/15,85.150002,85.400002,83.889999,84.059998,84.059998,12048600
4/17/15,83.080002,83.25,81.610001,81.900002,81.900002,22653200
4/20/15,82.25,82.690002,81.519997,82.199997,82.199997,13439400
4/21/15,82.860001,82.919998,82.139999,82.419998,82.419998,10056000
4/22/15,82.779999,82.839996,81.519997,82.050003,82.050003,13316900
4/23/15,81.879997,82.75,81.620003,82.279999,82.279999,11483300
4/24/15,82.879997,84.989998,82.800003,84.57,84.57,21058400
4/27/15,85.529999,86.269997,84.650002,84.900002,84.900002,17434200
4/28/15,85.540001,85.57,83.82,85.080002,85.080002,11110500
4/29/15,84.059998,84.400002,81.639999,82.449997,82.449997,21098000
4/30/15,82.220001,82.650002,80.440002,81.290001,81.290001,14209700
5/1/15,81.029999,82.25,80.110001,81.169998,81.169998,17910500
5/4/15,81.169998,81.559998,80.120003,80.589996,80.589996,21551500
5/5/15,80.440002,80.900002,77.769997,79.540001,79.540001,32661900
5/6/15,79.650002,80.849998,79.510002,80,80,24953500
5/7/15,88.830002,89.290001,84.910004,86,86,69448800
5/8/15,87.82,88.269997,86.889999,87.059998,87.059998,30140600
5/11/15,86.699997,87.669998,86.059998,86.720001,86.720001,19776900
5/12/15,87.050003,87.5,86.139999,86.769997,86.769997,16077800
5/13/15,87.080002,88.470001,87,87.529999,87.529999,19015900
5/14/15,87.739998,88.480003,87.529999,88.400002,88.400002,12087900
5/15/15,88.510002,88.959999,88.050003,88.459999,88.459999,13424600
5/18/15,87.610001,87.93,86.610001,87.110001,87.110001,13358400
5/19/15,86.989998,88.800003,86.470001,88.209999,88.209999,20727700
5/20/15,88.139999,90.800003,87.300003,90.699997,90.699997,29812300
5/21/15,91.349998,94.769997,90.919998,93.879997,93.879997,40729400
5/22/15,94.279999,95.059998,93.190002,93.269997,93.269997,22183300
5/26/15,93.650002,93.919998,91.550003,92.519997,92.519997,15674900
5/27/15,92.220001,92.989998,91.599998,92.599998,92.599998,9519300
5/28/15,91.690002,91.93,90.580002,90.949997,90.949997,14213000
5/29/15,91.349998,91.5,89.32,89.32,89.32,13816400
6/1/15,90.089996,90.989998,89.489998,90.779999,90.779999,9905900
6/2/15,90.550003,91.540001,90.190002,90.510002,90.510002,9840100
6/3/15,90.510002,91.040001,89.900002,90.790001,90.790001,9428000
6/4/15,90.709999,91.410004,90.269997,90.589996,90.589996,8689000
6/5/15,90.459999,91.599998,90.459999,90.709999,90.709999,11353900
6/8/15,90.650002,91.599998,88.242996,88.290001,88.290001,15603000
6/9/15,88.040001,88.18,86.120003,87.580002,87.580002,16081800
6/10/15,87.699997,88.989998,87.199997,88.900002,88.900002,12551300
6/11/15,89.029999,89.480003,87.099998,87.209999,87.209999,13716200
6/12/15,87.419998,87.790001,86.480003,86.629997,86.629997,9977100
6/15/15,86.300003,87.169998,86.050003,86.120003,86.120003,10230400
6/16/15,86.002998,86.699997,85.610001,86.089996,86.089996,10974200
6/17/15,86.580002,87.800003,86.480003,86.800003,86.800003,10241500
6/18/15,86.970001,87.589996,86.32,86.75,86.75,11737200
6/19/15,86.510002,86.599998,85.169998,85.739998,85.739998,10317000
6/22/15,86.07,86.400002,85.580002,85.68,85.68,7154200
6/23/15,85.980003,86.339996,84.830002,85.080002,85.080002,11411300
6/24/15,85.163002,85.809998,84.849998,85.169998,85.169998,9434300
6/25/15,85.470001,85.599998,84.900002,85.239998,85.239998,8949800
6/26/15,84.629997,84.650002,82.82,83.279999,83.279999,12668600
6/29/15,83.279999,83.279999,80.800003,81.07,81.07,15199800
6/30/15,82.580002,83.690002,81.959999,82.269997,82.269997,12624600
7/1/15,82.599998,83,81.989998,82.459999,82.459999,5950000
7/2/15,82.120003,82.32,81.779999,82.07,82.07,6760200
7/6/15,80.559998,81.5,80.120003,80.230003,80.230003,11864200
7/7/15,79.449997,79.790001,76.209999,79.620003,79.620003,34221700
7/8/15,76.580002,78.790001,76.220001,77.940002,77.940002,22714900
7/9/15,80.93,81.190002,79.040001,79.040001,79.040001,19778700
7/10/15,81.129997,81.199997,79.839996,80.300003,80.300003,11224500
7/13/15,80.919998,82.199997,80.699997,81.860001,81.860001,10350500
7/14/15,81.580002,82.019997,81.129997,81.5,81.5,7519300
7/15/15,80.900002,81.5,80.209999,80.730003,80.730003,9514200
7/16/15,81.389999,82,80.900002,81.529999,81.529999,8604500
7/17/15,81.989998,83.699997,81.580002,83.360001,83.360001,14505400
7/20/15,83.559998,83.68,82.050003,82.669998,82.669998,8126100
7/21/15,83.110001,83.25,82.220001,82.540001,82.540001,5750700
7/22/15,82.160004,84.75,82,84.150002,84.150002,11209200
7/23/15,84.660004,84.970001,83.25,83.879997,83.879997,7452300
7/24/15,85.169998,85.379997,82.650002,83.019997,83.019997,8759900
7/27/15,80.849998,81.699997,79.68,81.400002,81.400002,12185700
7/28/15,80.669998,80.800003,79.25,80.559998,80.559998,12122800
7/29/15,80.980003,81.369003,80.010002,80.260002,80.260002,7177100
7/30/15,80.110001,80.639999,79.449997,79.959999,79.959999,6934700
7/31/15,79.849998,79.904999,78.199997,78.339996,78.339996,12687000
8/3/15,78.199997,78.5,77.110001,77.989998,77.989998,9277000
8/4/15,78.07,79.353996,77.800003,78.870003,78.870003,8501200
8/5/15,79.589996,80.419998,79.480003,79.82,79.82,7502600
8/6/15,79.849998,80.75,78.639999,78.959999,78.959999,9297800
8/7/15,79.650002,80.199997,78.660004,78.82,78.82,8738800
8/10/15,79.860001,80.989998,79.5,80.470001,80.470001,11276700
8/11/15,79.481003,80,76.150002,77.339996,77.339996,22743800
8/12/15,72.32,73.849998,71.029999,73.379997,73.379997,41093200
8/13/15,74,76.730003,73.660004,75.110001,75.110001,23230700
8/14/15,74.529999,75.489998,74.459999,74.760002,74.760002,12138500
8/17/15,74.849998,75.239998,74.160004,75.190002,75.190002,12677400
8/18/15,74.050003,75.129997,73.730003,73.879997,73.879997,11155100
8/19/15,73.150002,73.559998,72.809998,73.120003,73.120003,18179400
8/20/15,71.980003,72.779999,70.029999,70.32,70.32,20995600
8/21/15,69.32,70.660004,68.18,68.18,68.18,29128600
8/24/15,58.16,65.800003,58,65.800003,65.800003,31376400
8/25/15,68.839996,70.330002,67.489998,68.57,68.57,29948400
8/26/15,68.949997,69.449997,65.75,68.660004,68.660004,26389200
8/27/15,70.839996,71.589996,70.019997,70.839996,70.839996,18123800
8/28/15,69.68,70.5,69.044998,70.07,70.07,10604600
8/31/15,69.18,69.300003,66.019997,66.120003,66.120003,18318600
9/1/15,64.379997,66.839996,64.050003,64.830002,64.830002,23460900
9/2/15,65.690002,66,64.971001,65.540001,65.540001,13376300
9/3/15,65.820999,66.889999,65.410004,66.470001,66.470001,15803200
9/4/15,65.404999,65.57,63.34,63.91,63.91,18186400
9/8/15,65.779999,66.809998,60.25,60.91,60.91,50328400
9/9/15,62.73,64.669998,62.529999,64.040001,64.040001,33061200
9/10/15,63.52,64.25,63.34,63.830002,63.830002,13281600
9/11/15,63.369999,64.790001,62.700001,64.629997,64.629997,17747000
9/14/15,62.549999,63.259998,61.48,62.599998,62.599998,26763300
9/15/15,61.450001,65.360001,61.110001,64.849998,64.849998,28992300
9/16/15,65.610001,68.080002,65.260002,67.230003,67.230003,25801000
9/17/15,66.410004,66.650002,65.599998,66,66,16594600
9/18/15,65.400002,65.75,64.010002,65.75,65.75,19836100
9/21/15,65.379997,66.400002,62.959999,63.900002,63.900002,22355100
9/22/15,62.939999,63.27,61.580002,61.900002,61.900002,14897900
9/23/15,61.959999,62.299999,59.68,60,60,22684600
9/24/15,59.419998,60.34,58.209999,59.919998,59.919998,20645700
9/25/15,60.630001,60.84,58.919998,59.240002,59.240002,17009100
9/28/15,58.810001,60.119999,57.314999,57.389999,57.389999,20661600
9/29/15,57.299999,58.650002,57.200001,57.82,57.82,16771000
9/30/15,58.869999,60.080002,58.349998,58.970001,58.970001,16552000
10/1/15,59.5,59.830002,58.23,58.869999,58.869999,8147700
10/2/15,58.360001,63.240002,58.200001,63.200001,63.200001,22356300
10/5/15,63.470001,64.775002,62.200001,63.93,63.93,13583500
10/6/15,63.720001,64.730003,63.279999,63.919998,63.919998,9620900
10/7/15,64.839996,66.660004,64.379997,66.279999,66.279999,15770100
10/8/15,66.040001,68.410004,65.959999,67.699997,67.699997,18667500
10/9/15,67.699997,69.449997,67.309998,68.709999,68.709999,14762900
10/12/15,69.639999,70.470001,69,70.300003,70.300003,15549100
10/13/15,69.489998,70.32,68.379997,69.68,69.68,13052800
10/14/15,69.5,69.699997,67.425003,68.540001,68.540001,12286100
10/15/15,69.339996,72.440002,69.260002,71.779999,71.779999,18203000
10/16/15,72.5,73.639999,71.209999,71.989998,71.989998,15953500
10/19/15,71.800003,73,71.522003,72.650002,72.650002,10886900
10/20/15,72.989998,73,71.550003,71.790001,71.790001,10813700
10/21/15,71.790001,71.790001,68.889999,69.480003,69.480003,16800200
10/22/15,70.160004,71.629997,70.07,70.989998,70.989998,10811400
10/23/15,73.980003,75.760002,72.839996,75.620003,75.620003,22510800
10/26/15,75.440002,77.419998,75.129997,76.349998,76.349998,24819700
10/27/15,76.349998,82.790001,76.349998,79.440002,79.440002,50815800
10/28/15,79.480003,82.544998,79.199997,82.349998,82.349998,25027100
10/29/15,81.970001,82.529999,80.82,82.220001,82.220001,16249900
10/30/15,82.699997,84.440002,82.599998,83.830002,83.830002,20740500
11/2/15,83.519997,84.830002,82.75,84.349998,84.349998,13827400
11/3/15,84,84.589996,83.129997,83.440002,83.440002,11641300
11/4/15,84.449997,85.599998,84.029999,85.400002,85.400002,23654700
11/5/15,85.220001,86.419998,84.199997,85.379997,85.379997,20657200
11/6/15,85.529999,86.349998,80.769997,83.610001,83.610001,38531000
11/9/15,83.440002,83.470001,80.220001,81.379997,81.379997,19091500
11/10/15,81.099998,82.43,79.620003,81.43,81.43,22004400
11/11/15,82.279999,82.489998,78.120003,79.849998,79.849998,29636600
11/12/15,78.989998,80.5,78.449997,78.760002,78.760002,18839800
11/13/15,77.150002,78,75.639999,75.849998,75.849998,24235500
11/16/15,75.830002,78.75,75.769997,78.300003,78.300003,17045500
11/17/15,78.900002,79.139999,77.470001,78.129997,78.129997,12471400
11/18/15,78.25,78.309998,76.150002,77.690002,77.690002,16735400
11/19/15,78.059998,79.150002,77.403,77.870003,77.870003,15692700
11/20/15,78.440002,80.785004,78.400002,79.949997,79.949997,21025800
11/23/15,80.449997,82.190002,79.970001,81.309998,81.309998,18766400
11/24/15,80.849998,81.110001,79.269997,80.860001,80.860001,15283600
11/25/15,80.910004,82.675003,80.82,81.709999,81.709999,16330900
11/27/15,80.57,81.410004,79.275002,81.379997,81.379997,12599900
11/30/15,81.5,84.470001,81.379997,84.080002,84.080002,97914100
12/1/15,83.769997,84.389999,83.5,84,84,26235500
12/2/15,84.269997,85.82,84.25,85,85,36611500
12/3/15,85.050003,85.099998,82.099998,82.589996,82.589996,23029200
12/4/15,82.580002,85,82.419998,84.849998,84.849998,15555000
12/7/15,84.800003,85.129997,84.199997,84.760002,84.760002,11875500
12/8/15,82.769997,84.669998,82.610001,84.379997,84.379997,14667400
12/9/15,84.370003,85.199997,82.970001,83.419998,83.419998,21919200
12/10/15,83.339996,84.339996,82.849998,84.330002,84.330002,10417500
12/11/15,82.849998,83.050003,79.421997,79.739998,79.739998,20793600
12/14/15,80.150002,80.760002,78.989998,80.57,80.57,12046500
12/15/15,81.059998,83.389999,80.900002,82.489998,82.489998,13054800
12/16/15,83.300003,85.050003,82.995003,84.629997,84.629997,16575600
12/17/15,85,85.32,82.849998,83.559998,83.559998,13003000
